occupancy,length_stay,month,openness,monthly_avg_occupancy,nightly_rate,monthly_rate,guests
0.032258065,1.0,4,31,0.3263502284471355,449.9599915,13498.799745,10
0.0,4.749502715945883,7,30,0.39569542972408456,327.04738032354703,9811.42140970641,10
0.35483871,2.4,11,31,0.4113048915317965,449.9709029,13499.127087,10
0.0,4.749502715945883,9,28,0.440423965025463,327.04738032354703,9811.42140970641,10
0.064516129,1.0,8,31,0.3947702089398126,449.9599915,13498.799745,10
0.0,4.749502715945883,0,30,0.302981447302315,327.04738032354703,9811.42140970641,10
0.0,4.749502715945883,1,31,0.29308145186323187,327.04738032354703,9811.42140970641,10
0.483870968,1.0,6,31,0.380212925989781,449.9599915,13498.799745,10
0.064516129,1.0,5,31,0.36797611979267164,449.9599915,13498.799745,10
0.033333333,1.0,3,30,0.32480760221484917,449.9599915,13498.799745,10
1.0,4.749502715945883,9,28,0.440423965025463,303.5385699,9106.157097000001,8
1.0,4.749502715945883,8,31,0.3947702089398126,305.9345142,9178.035426,8
0.0,4.749502715945883,0,28,0.302981447302315,327.04738032354703,9811.42140970641,8
0.7,6.333333333,7,30,0.39569542972408456,243.0761886,7292.285658,8
0.75,2.75,9,28,0.440423965025463,525.9380958,15778.142874000001,8
0.193548387,1.25,8,31,0.3947702089398126,494.9483439,14848.450317,8
0.1,1.0,0,30,0.302981447302315,494.9500122,14848.500366,8
0.032258065,1.0,1,31,0.29308145186323187,494.9500122,14848.500366,8
0.483870968,1.8,10,31,0.3412273734258343,401.8273356,12054.820068,7
0.838709677,1.857142857,4,31,0.3263502284471355,322.05538,9661.6614,7
1.0,1.5,7,30,0.39569542972408456,365.665333,10969.95999,7
0.612903226,1.333333333,11,31,0.4113048915317965,468.1052632,14043.157896,7
0.428571429,1.714285714,9,28,0.440423965025463,382.4616648,11473.849944,7
0.35483871,1.571428571,8,31,0.3947702089398126,428.5981737,12857.945211,7
0.8,8.0,0,30,0.302981447302315,293.3420785,8800.262355,7
0.419354839,1.272727273,1,31,0.29308145186323187,385.5030694,11565.092082000001,7
0.8,4.25,3,30,0.32480760221484917,293.2037506,8796.112518,7
0.451612903,2.428571429,10,31,0.3412273734258343,467.8028521,14034.085563,12
0.64516129,2.333333333,10,31,0.3412273734258343,430.4834991,12914.504973000001,9
1.0,2.0,4,31,0.3263502284471355,254.3638699,7630.916097,9
0.933333333,1.272727273,7,30,0.39569542972408456,283.3164286,8499.492858,9
0.607142857,1.888888889,9,28,0.440423965025463,417.7752901,12533.258703,9
0.64516129,1.818181818,8,31,0.3947702089398126,371.2610016,11137.830048,9
0.5,1.363636364,0,30,0.302981447302315,221.3793294,6641.379881999999,9
1.0,4.749502715945883,2,30,0.31671274185983456,242.7686666,7283.059998,9
1.0,4.749502715945883,6,31,0.380212925989781,255.2235491,7656.706473,9
1.0,4.749502715945883,5,31,0.36797611979267164,251.0945159,7532.8354770000005,9
1.0,4.749502715945883,3,30,0.32480760221484917,254.8659993,7645.979979,9
0.0,4.749502715945883,10,31,0.3412273734258343,327.04738032354703,9811.42140970641,7
0.0,4.749502715945883,4,4,0.3263502284471355,327.04738032354703,9811.42140970641,7
0.0,4.749502715945883,9,28,0.440423965025463,327.04738032354703,9811.42140970641,7
0.0,4.749502715945883,8,31,0.3947702089398126,327.04738032354703,9811.42140970641,7
0.0,4.749502715945883,0,30,0.302981447302315,327.04738032354703,9811.42140970641,7
0.0,4.749502715945883,1,31,0.29308145186323187,327.04738032354703,9811.42140970641,7
0.0,4.749502715945883,2,30,0.31671274185983456,327.04738032354703,9811.42140970641,7
0.0,4.749502715945883,6,31,0.380212925989781,327.04738032354703,9811.42140970641,7
0.0,4.749502715945883,5,31,0.36797611979267164,327.04738032354703,9811.42140970641,7
0.0,4.749502715945883,3,30,0.32480760221484917,327.04738032354703,9811.42140970641,7
0.0,4.749502715945883,4,31,0.3263502284471355,327.04738032354703,9811.42140970641,10
0.193548387,3.0,8,31,0.3947702089398126,414.9599915,12448.799745,10
0.0,4.749502715945883,1,31,0.29308145186323187,327.04738032354703,9811.42140970641,10
0.0,4.749502715945883,2,30,0.31671274185983456,327.04738032354703,9811.42140970641,10
0.0,4.749502715945883,5,31,0.36797611979267164,327.04738032354703,9811.42140970641,10
0.0,4.749502715945883,3,30,0.32480760221484917,327.04738032354703,9811.42140970641,10
0.0,4.749502715945883,8,31,0.3947702089398126,327.04738032354703,9811.42140970641,16
0.0,4.749502715945883,0,30,0.302981447302315,327.04738032354703,9811.42140970641,16
0.0,4.749502715945883,1,31,0.29308145186323187,327.04738032354703,9811.42140970641,16
0.0,4.749502715945883,2,30,0.31671274185983456,327.04738032354703,9811.42140970641,16
0.0,4.749502715945883,6,31,0.380212925989781,327.04738032354703,9811.42140970641,16
0.0,4.749502715945883,5,31,0.36797611979267164,327.04738032354703,9811.42140970641,16
0.0,4.749502715945883,3,26,0.32480760221484917,327.04738032354703,9811.42140970641,16
0.0,4.749502715945883,1,31,0.29308145186323187,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,2,1,0.31671274185983456,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,10,31,0.3412273734258343,327.04738032354703,9811.42140970641,9
0.0,4.749502715945883,9,28,0.440423965025463,327.04738032354703,9811.42140970641,9
0.0,4.749502715945883,8,31,0.3947702089398126,327.04738032354703,9811.42140970641,9
0.0,4.749502715945883,0,30,0.302981447302315,327.04738032354703,9811.42140970641,9
0.0,4.749502715945883,1,4,0.29308145186323187,327.04738032354703,9811.42140970641,9
